"LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default_payment_next_month"
130000,1,3,2,33,0,0,0,0,0,0,92400,95365,98095,100796,102504,104089,6000,5000,5000,4000,4000,5000,0
120000,2,1,2,24,-1,-1,-2,-2,-2,-2,600,0,0,0,0,0,0,0,0,0,0,0,0
240000,2,1,1,40,2,2,2,2,-2,-2,2500,2500,2500,0,0,0,0,0,0,0,0,0,1
160000,2,2,1,40,0,0,2,0,0,2,137630,146193,139323,140719,143638,144482,12100,0,5100,10251,5205,0,0
2e+05,2,2,1,44,-2,-2,-2,-2,-2,-2,0,138,0,0,1675,69,140,0,0,1675,69,39411,0
3e+05,1,1,2,29,-2,-2,-1,-1,-1,-2,0,0,150,3550,0,0,0,150,3550,0,0,0,0
1e+05,2,2,2,26,-1,-1,-1,-1,-1,-1,780,0,390,390,390,380,0,390,390,390,380,400,0
280000,2,1,1,30,0,0,0,0,0,0,217798,215017,209089,167458,137312,109980,8155,10048,6011,6010,6514,10011,0
190000,2,2,2,26,-1,-1,-1,-1,-1,-1,11623,10000,10000,10000,10000,10941,10000,10000,10000,10000,10941,79027,0
50000,1,2,1,48,1,2,2,2,2,0,17613,18334,17742,19273,18826,19213,1300,0,1829,0,849,822,0
210000,2,3,1,33,0,0,0,0,0,2,31652,32756,33905,35035,37465,36713,2000,2000,2000,3000,0,734,0
120000,2,1,2,26,0,0,0,0,0,0,111115,99271,90066,80165,78108,77588,4428,2988,4492,2797,2991,2900,0
140000,2,1,2,33,-2,-2,-2,-2,-2,-2,1835,0,1264,0,0,1980,0,1264,0,0,1980,1351,0
50000,2,1,2,23,-2,-2,-2,-2,-2,-2,800,0,0,0,0,0,0,0,0,0,0,0,0
150000,2,1,2,31,-2,-1,-1,-1,-2,-2,2006,2869,16719,8568,797,1158,2879,16732,8593,799,1161,41380,0
240000,2,1,2,29,-1,0,0,0,0,0,30365,15579,20496,15296,24332,23896,10023,10000,5000,15000,15000,5000,0
20000,1,1,2,26,0,-1,-1,-1,-1,-1,1494,3150,10464,0,1690,18156,3151,10464,0,1690,18156,19800,0
80000,2,2,2,24,0,0,0,0,0,0,78950,78726,70110,62590,54177,60662,2900,2329,2400,2000,7400,0,0
140000,2,2,1,28,0,0,0,0,0,0,99294,89391,79173,43370,28850,17896,3209,2894,2000,1500,1000,2000,0
50000,2,2,2,25,0,0,0,0,0,0,28428,27383,12620,6730,6872,7057,2000,1110,240,250,300,2335,0
630000,1,1,2,36,0,0,0,0,0,0,192160,68891,71564,32968,37541,42064,4000,4000,3000,5000,5000,3000,0
130000,2,2,1,33,-1,-1,-1,-1,-1,-1,2454,1456,382,1043,2835,-184,1500,382,2000,3000,0,2000,0
210000,2,1,1,34,0,0,0,0,0,0,201015,207222,209189,106090,108300,87404,10688,8601,3601,3719,3300,3400,0
190000,1,1,2,36,2,2,2,2,2,2,107799,109678,110887,111871,114223,116577,5200,4500,4300,4300,4400,4500,1
150000,2,1,1,44,-1,-1,-1,0,0,-1,1358,0,839,693,0,3975,0,839,0,0,3975,0,0
10000,1,3,2,25,-1,-1,-1,-1,-1,-1,3152,390,390,390,0,1280,390,390,390,0,1280,6380,0
30000,2,1,1,24,-1,-1,-1,-1,-1,-1,9283,2643,3415,2250,2486,844,2645,3415,2250,2486,844,0,1
2e+05,1,1,1,67,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
140000,2,1,2,25,3,2,0,0,0,0,21641,14021,10084,89223,58280,44593,0,2000,83000,3000,32000,2000,1
170000,2,2,2,30,0,0,2,0,0,0,120890,136552,132655,134140,115892,116653,19241,0,5000,5000,4500,4500,0
20000,2,2,2,24,2,2,2,2,-1,-1,6277,8284,8000,0,186,3314,2286,0,0,186,3314,3515,1
80000,2,2,1,45,0,0,-2,-2,-2,-2,81970,0,0,0,0,0,0,0,0,0,0,0,0
110000,1,2,1,49,0,0,0,0,0,0,51803,52888,54570,55368,56623,57196,1923,2563,2300,2300,1704,700,0
150000,2,1,2,28,0,0,0,0,0,-2,147586,111608,91705,32907,0,0,3200,20088,700,0,0,0,0
50000,1,3,1,50,2,0,0,0,0,0,48632,49540,49583,19695,20004,19904,2100,1500,1000,1000,1000,700,0
10000,2,2,2,22,0,0,0,0,0,0,2261,3297,4730,5649,7304,8252,1067,1500,1000,1751,1073,2041,1
280000,2,1,2,38,-1,0,0,-1,0,-1,17884,14011,30079,13139,13989,15559,2000,30000,14000,1000,16000,0,1
50000,1,2,2,42,2,2,2,0,0,0,51671,52034,50151,20448,20464,20456,2000,39,718,800,800,800,0
10000,2,1,2,22,0,0,0,0,0,0,9383,9709,10228,10432,9839,9859,1200,1153,357,501,429,196,0
3e+05,1,1,1,45,0,0,0,0,0,0,193650,185703,190060,189912,145909,127078,6817,7542,7930,6534,6153,2815,0
2e+05,1,3,1,47,0,0,0,0,2,0,185419,189657,103861,75480,70042,72157,10000,10000,6000,0,5000,3000,0
270000,2,2,2,26,0,-1,0,0,-1,-1,33217,52425,69048,68206,17510,26175,53021,27595,10343,18083,26279,17013,1
90000,2,2,3,36,0,0,0,0,0,0,91344,91049,70101,28942,27508,28250,3143,5094,1106,1001,1201,1074,0
10000,1,2,2,26,2,2,7,7,7,7,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,1
50000,2,3,2,22,2,2,0,0,0,0,22715,18408,19330,19561,19815,18574,0,1573,804,675,738,1000,0
80000,2,1,2,25,-2,-2,-2,-2,-2,-2,0,0,988,0,0,0,0,988,0,0,0,0,0
110000,2,2,2,26,0,0,0,0,0,0,65763,67251,70065,72017,77943,79694,2510,4000,3000,7000,3100,1377,0
370000,1,1,2,30,0,-1,-1,0,0,0,6608,3563,184429,180508,178220,72656,4000,192718,5000,5000,3000,2000,0
50000,1,2,2,23,-1,0,-1,-1,-1,-1,1685,1440,1322,1411,540,540,1200,1322,1500,540,540,780,0
10000,1,2,2,37,-1,-1,-1,0,-1,0,880,1475,780,390,780,390,1474,780,0,31250,0,0,0
180000,2,1,2,27,0,0,2,0,0,0,99036,119635,115839,105643,119358,116097,22581,121,10000,20000,25000,0,0
60000,2,2,1,59,4,4,5,4,3,2,56998,59111,59595,58079,56892,55826,3601,2000,0,0,0,4000,0
90000,2,1,1,43,0,0,0,0,2,2,58009,61485,62540,81123,80073,82472,5003,5000,20000,10,10104,87,1
280000,2,3,1,61,0,0,0,0,0,0,162647,146990,149201,152377,155764,148302,7000,6000,5500,5800,5200,6000,0
2e+05,1,1,2,28,0,-1,2,2,-1,-1,7443,22182,10373,2669,1024,170722,22313,7,0,6177,180722,5000,0
130000,1,2,2,29,0,0,0,0,0,0,62518,62562,62650,63896,65411,64684,2267,2230,2243,2500,3000,4000,0
2e+05,2,2,2,28,1,2,0,0,2,2,61807,60294,63663,67596,66388,71272,0,5000,5000,0,6000,0,1
50000,2,2,2,26,0,0,0,0,0,0,29356,30483,31180,18401,18785,19248,1602,1300,658,680,773,524,1
180000,2,1,2,31,-1,-1,-1,-1,-1,-1,3924,1020,0,860,13335,15248,1018,0,860,13335,15248,17676,0
50000,1,1,2,46,0,0,-2,-2,-2,-2,51400,0,0,0,0,0,0,0,0,0,0,0,0
20000,1,1,2,27,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
250000,2,2,2,40,-1,-1,-1,-1,0,0,2350,329,-1404,3596,8596,8941,330,5000,5000,5000,4000,3000,0
50000,1,3,2,41,0,0,0,0,-1,-1,47378,48814,49771,19375,71,19661,2195,2151,755,71,19837,792,0
180000,2,2,2,26,0,0,0,0,0,0,10874,9324,7738,6369,6109,7603,2000,2000,2000,3109,5000,5520,0
320000,1,2,2,44,-1,-1,-2,-2,-2,-2,36750,28785,13104,2621,9075,6564,29069,13227,2621,9075,6564,12767,0
10000,2,3,1,41,-1,-1,2,0,-1,-1,780,780,780,390,390,780,1473,0,0,390,780,0,1
320000,2,1,2,31,-2,-2,-2,-2,-2,-1,1343,5458,9572,3826,737,3865,5457,9579,3826,737,3865,300,0
250000,1,2,2,30,0,0,0,0,0,0,170559,173347,177321,177580,170956,158503,6510,7992,6475,6050,6197,6000,0
30000,1,2,2,24,1,2,2,3,2,0,20995,20393,20399,19945,19645,11229,0,2403,0,0,2000,0,0
260000,1,2,2,31,-1,-1,-1,-1,-1,-1,326,326,326,326,326,326,652,326,326,326,326,144,0
130000,2,2,1,37,0,0,0,0,0,0,123248,121530,107783,84353,169121,87863,6012,5312,3100,3123,6293,3273,0
180000,2,1,1,30,0,0,0,0,0,2,149069,152317,156282,161163,172190,148963,7500,8000,9000,14000,0,5500,1
30000,2,1,2,27,-1,0,0,0,0,-1,416,1470,2418,2009,3009,7093,1052,1000,500,1000,7093,1000,0
1e+05,1,3,1,35,2,2,0,0,2,2,101403,97751,92431,97227,88899,93766,0,3500,7000,0,7000,0,1
340000,2,2,2,33,0,0,0,0,0,0,335938,301626,306575,311784,318320,325028,10322,10302,10365,10750,11150,11271,1
210000,2,2,1,26,0,0,0,0,0,0,207592,202432,142119,99699,17718,150758,9000,5500,3600,1000,135000,5314,0
280000,2,1,2,27,-2,-2,-2,-2,-2,-2,-5,-5,-5,8164,0,1133,0,0,8169,0,231133,3300,0
190000,1,1,2,35,0,0,0,0,0,0,24873,23522,22117,23433,22173,22598,1806,2000,2010,1003,2007,3019,0
110000,2,3,1,53,-2,-2,-2,-2,-2,-2,1459,745,0,0,0,0,750,0,0,0,0,0,0
20000,2,2,1,23,2,0,0,0,2,0,16203,17626,18398,19052,15429,9199,1676,1446,1100,0,379,1085,1
20000,2,1,2,25,2,2,0,0,0,0,18436,17859,18718,17009,18721,20209,0,1718,900,2000,1800,0,1
20000,2,2,1,29,1,2,2,2,2,2,12171,11700,13474,13006,13743,11167,0,2000,0,1055,0,215,0
20000,1,2,2,23,1,2,2,2,2,0,4667,6433,6181,6778,6524,8408,2000,0,700,0,2000,2000,0
230000,2,1,2,43,0,0,0,0,0,0,39723,39261,38228,36542,35989,34347,5000,5000,3000,3459,4000,5000,0
180000,1,2,1,37,-1,-1,-1,-1,0,0,14480,33915,5198,13263,6817,4188,33548,5217,13263,6000,1000,4085,0
280000,1,2,1,41,-1,-1,-1,-1,-1,-1,3520,3110,3188,4176,10276,9898,3114,3188,4189,10276,9898,1691,0
510000,2,1,2,36,0,0,0,0,0,0,234825,214522,217620,218692,191069,195124,10000,8200,7268,7000,7177,7200,0
150000,1,2,1,40,0,0,0,0,0,0,142001,144833,137737,140047,144557,133716,7000,7000,6000,7000,5021,9000,0
20000,1,3,2,26,2,0,0,0,0,0,17884,19224,19327,18696,19233,19909,1641,2400,632,800,1000,1500,1
110000,2,3,1,38,0,0,0,0,0,0,100792,88694,74647,49021,34594,23116,3537,3066,2033,2021,1024,1003,0
230000,2,1,2,34,-1,2,-1,-1,2,-1,914,591,119,699,383,32774,0,1000,1000,0,33500,3000,1
370000,2,1,2,35,0,0,-2,-1,-1,0,40154,-101,-101,2329,156619,155988,0,0,2430,161450,6035,6439,0
5e+05,2,1,2,30,-2,-2,-1,-1,-2,-2,1072,5543,500,617,617,617,5556,810,617,0,0,28572,0
260000,2,2,1,43,1,-2,-2,-1,0,-1,0,-416,-1248,832,416,1398,0,0,2080,0,1398,0,0
80000,1,2,1,53,0,0,0,-2,-2,-2,5799,6666,0,0,0,0,1000,0,0,0,0,0,1
140000,2,2,2,27,1,2,2,3,2,2,117681,123630,128308,125776,123659,131290,9026,8200,1000,0,9874,0,0
80000,1,1,2,32,-1,-1,-2,-2,-2,-2,4054,0,0,0,0,0,0,0,0,0,0,0,0
50000,2,2,1,46,0,0,0,0,0,0,49828,49160,49222,29291,29391,29826,2438,2200,1187,1213,1073,1066,0
80000,1,2,3,39,2,0,0,0,0,0,76215,54669,28674,28240,28540,27934,2000,1500,1200,1300,1200,1200,0
140000,2,1,1,40,0,0,0,0,0,0,67474,69027,56175,57666,59604,62480,3100,3888,2800,2800,3800,3000,0
140000,2,1,2,30,0,0,0,0,0,0,105927,99769,102682,102332,104544,107155,5000,5500,5000,4000,4500,4500,0
50000,2,2,2,24,-1,-1,-1,-1,0,-1,1580,306,995,1055,102,2110,312,995,1055,0,2110,0,0
30000,2,2,2,24,0,0,2,0,0,0,25107,27558,26552,27703,28128,28859,3552,0,1902,1022,1200,1200,0
230000,1,2,2,32,0,0,0,0,0,0,171057,164406,76691,76952,77577,78017,7434,3000,2723,2810,2793,2860,1
150000,2,2,2,26,0,0,0,0,0,0,94384,96358,99230,98285,102743,103062,5000,4500,4500,6000,5000,5000,0
2e+05,2,2,1,53,-1,-1,-1,-1,-2,-1,5048,0,16556,0,0,47140,0,16556,0,0,47140,0,0
110000,2,1,1,41,2,2,7,7,7,7,148,150,150,150,150,150,0,0,0,0,0,0,0
150000,2,2,1,44,0,0,0,0,0,0,17698,19440,14945,12966,14882,8105,2019,2020,2000,2000,2000,1000,0
2e+05,2,3,1,46,-1,-1,-1,-1,-2,-2,1201,5590,2500,0,0,0,5586,2500,0,0,0,0,1
180000,2,3,2,33,1,-1,2,-1,-1,-2,0,199,199,580,0,0,200,0,580,0,0,0,0
230000,2,2,1,45,-1,-1,-1,-1,0,0,108,107,1741,107,107,0,113,1741,214,0,0,0,0
80000,1,1,2,29,-1,0,0,0,0,0,17538,17709,15631,13402,13197,11624,3012,2008,1009,2005,507,2607,0
230000,2,1,2,33,-1,-1,-2,-2,-2,-2,6277,0,0,0,0,0,0,0,0,0,0,0,0
340000,2,2,2,31,4,3,2,-1,-1,-1,592897,572677,384060,304508,247178,228349,0,0,1000,4320,287982,8007,1
290000,2,2,1,53,-1,-1,-1,-1,-1,-1,1535,199,1440,1017,3798,4898,200,1440,1017,3798,4898,5034,0
2e+05,2,2,2,25,-2,-2,-1,-1,0,-1,22715,7940,9855,24091,24583,7354,0,10145,24091,492,7354,9694,0
50000,1,3,2,24,4,3,2,2,2,0,27231,26508,26976,27206,26631,27185,0,1200,968,0,998,1479,1
230000,2,2,1,43,0,0,0,0,0,0,84777,87055,87601,89762,92735,95768,4278,4162,5000,5000,5000,5000,0
130000,2,1,2,29,0,0,3,3,2,0,106260,119728,121140,117767,115640,116062,15155,5000,0,0,4200,5000,0
80000,2,3,1,39,-1,-1,-1,-1,-1,-1,723,2012,3550,7529,0,3228,2011,3550,7529,0,3228,0,0
120000,2,1,2,31,0,0,0,0,0,2,82650,83075,75735,62511,62179,60981,4462,4020,3000,5700,0,2500,0
2e+05,2,2,1,34,0,0,0,-1,-1,-2,4812,4490,5366,2141,0,0,1126,1000,2141,0,0,0,0
3e+05,1,3,2,34,-1,-1,-1,-1,-1,-1,4734,3767,10436,9650,4198,0,3767,10436,9856,4198,0,0,0
2e+05,2,2,1,36,-1,-1,-1,-1,-1,-1,1072,4078,1099,1099,1099,1099,4107,1099,1099,1099,1099,1099,0
80000,2,2,1,46,0,0,0,0,0,0,34494,35930,37326,38203,39580,40920,2000,2000,1500,2000,2000,2000,0
80000,2,3,2,32,1,-1,-1,-1,0,0,-130,41873,11047,9258,3100,814,41275,11047,9300,0,0,4032,0
60000,2,1,2,25,0,0,0,0,0,0,51803,52997,53559,54716,54533,58085,1931,2000,2000,2000,6000,0,0
30000,2,2,1,30,0,0,0,2,0,0,25161,25949,28478,27754,28186,30240,1500,3000,0,1001,2500,1200,0
3e+05,2,2,1,42,-1,-1,-1,-1,-1,-1,38909,319,8157,21228,326,1518,316,8157,21228,326,1518,47374,0
270000,1,0,2,39,1,-1,-1,-1,-1,-2,0,10193,69553,18607,0,0,10208,70213,19008,399,0,0,0
70000,2,2,2,24,0,-1,0,0,0,-1,7026,1602,28199,28980,29795,27091,1958,28000,1250,1496,29251,1000,1
90000,2,2,1,24,-2,-2,-2,-2,-2,-2,91344,91337,88129,76209,65295,27224,5000,3069,2028,2110,2142,39245,0
170000,2,1,2,26,0,0,0,0,0,0,108300,109889,84897,82608,84388,86096,3600,3111,3000,3100,3101,3306,0
80000,2,2,1,36,0,0,0,0,0,0,69816,60445,50857,39813,40248,40935,2500,2061,1413,1460,1751,1958,1
290000,2,1,1,41,-1,-1,-1,-1,-2,-1,11211,0,970,0,0,2184,0,970,0,0,2184,1140,0
2e+05,1,2,2,26,0,0,0,0,0,0,103100,107027,107765,109970,113436,115402,5500,4000,4000,5242,5000,4400,0
20000,1,2,2,22,0,0,0,0,0,0,13460,10232,7842,9262,4335,0,2200,2000,2200,1200,0,0,0
5e+05,1,1,1,38,-1,-1,-1,-1,-1,-1,75517,26358,7860,2983,8767,4691,27465,7860,3047,8831,4734,11484,0
1e+05,2,2,2,25,0,0,0,0,0,0,98184,97473,91096,76371,77162,78084,3600,3000,2700,2800,3000,2800,0
350000,1,1,1,55,-1,-1,-1,-1,-1,-1,5948,6318,1485,788,15015,666,6325,1485,788,15015,666,0,0
50000,2,2,2,24,1,2,0,0,0,0,33995,23196,22883,18069,19273,19929,0,1636,700,1500,1000,500,0
340000,2,2,1,52,0,0,0,0,0,0,331365,319742,255166,197695,201907,195961,12100,10000,7000,7000,7000,8000,0
180000,2,2,1,29,0,0,0,0,0,0,26023,26310,26662,26166,26176,25442,1800,1500,1056,950,1000,1050,0
3e+05,2,1,1,54,-1,-1,-1,-1,-1,-1,1072,-18,4190,2539,2590,5440,0,4208,2539,2590,5440,5646,0
220000,2,1,1,32,1,2,0,0,2,2,17336,16758,18474,20667,20195,21854,0,2000,2500,0,2000,0,0
80000,1,1,2,26,0,0,0,0,0,0,56437,50855,47656,35351,32895,22755,2600,4000,3000,3500,3500,2300,0
50000,2,2,1,32,0,0,0,0,0,0,44739,43952,29136,19048,17946,17340,1500,1239,612,607,2593,584,0
1e+05,1,2,2,26,0,0,0,0,0,0,60040,62438,49234,50521,51820,53056,4000,3000,2000,2000,2200,1700,0
170000,2,2,1,34,0,0,0,0,0,0,35327,34622,31450,28229,26422,15081,1402,1789,652,798,1081,173,0
20000,2,1,2,25,-1,0,0,0,0,0,15781,16906,17936,5995,7885,9657,1370,1500,1000,2000,2000,0,1
80000,1,2,1,28,0,0,0,0,0,0,32050,28984,16391,3729,4663,5429,1323,4122,139,1000,1000,1000,1
80000,1,1,2,26,0,0,0,0,0,0,79673,80821,65609,49640,49685,46684,3513,2627,1697,2000,1700,3000,1
3e+05,1,2,1,31,1,2,0,0,0,0,248880,221336,159556,32897,20992,12621,10256,7063,1005,1045,1004,1005,0
50000,2,2,1,26,-1,-1,-1,-1,-1,-2,1902,782,0,4699,0,0,780,0,4699,0,0,0,0
90000,2,2,1,45,-1,-1,-1,-1,-2,-2,37426,9009,179,0,0,0,24633,179,0,0,0,0,0
70000,2,1,2,24,1,2,2,2,2,2,15929,16879,16315,17099,16683,18753,1500,0,1355,0,2353,0,1
90000,2,5,2,23,0,0,0,0,0,0,83120,74918,75422,29364,9571,9665,3506,2942,979,191,193,14210,0
4e+05,1,1,1,42,0,0,0,0,0,0,33995,36916,21089,22943,22994,25172,4082,1539,3013,3003,3003,5979,0
10000,1,2,2,36,0,0,2,0,0,-1,7410,9400,7226,5733,5755,1600,2329,0,1007,2200,1600,3883,1
80000,1,1,2,27,0,0,0,0,0,0,72514,63342,51529,41484,34097,29200,10000,4000,2000,3000,2500,0,0
70000,1,1,2,33,0,0,0,0,0,0,63872,65443,65169,64370,15082,0,3220,1680,3000,142,142,0,0
1e+05,1,3,1,44,2,2,2,2,2,2,30051,31287,31676,32259,31608,33524,2000,1200,1400,0,2600,0,0
210000,2,2,1,33,-1,-1,-1,-2,-2,-2,1972,748,0,0,0,0,826,0,0,0,0,0,1
360000,2,3,2,39,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
280000,1,1,1,28,1,2,0,0,0,2,285177,276229,277026,280771,270992,111885,4,10031,10021,7111,34,171574,0
180000,1,1,2,32,0,0,0,0,0,0,85040,77213,68131,62704,60133,59335,2933,2226,2271,2108,3012,1933,0
220000,1,1,1,45,1,2,0,0,0,0,157107,153320,156996,158717,162122,165399,0,7600,5700,6000,6000,12300,0
2e+05,1,2,1,47,-2,-2,-2,-2,-2,-2,388,389,389,389,389,389,390,390,390,390,390,385,0
170000,2,1,1,44,-1,-1,-1,-1,-1,-1,29896,15903,5641,2194,18601,2557,15954,5641,2194,18601,2557,3871,0
140000,1,1,2,30,0,-1,-1,-1,-1,-1,22821,6405,1683,-885,3019,-177,6500,2515,0,8000,0,1000,0
50000,2,3,1,54,0,0,0,0,0,0,50297,50579,48491,29157,29097,29039,2008,3537,5700,1102,1200,1100,0
2e+05,2,3,2,26,0,0,0,0,0,2,22619,24943,27210,36359,39299,40428,3000,3000,10000,3700,2000,3000,0
50000,1,2,1,33,0,0,0,0,0,0,13519,9199,6879,6753,5440,5440,2000,1284,264,109,390,0,0
90000,2,2,2,30,0,0,0,0,2,2,75296,73980,75036,77094,75708,76610,3347,3300,5500,1600,3950,0,1
5e+05,1,1,2,36,-1,-1,-1,0,0,0,2454,1038,34741,20409,23804,22697,1100,35157,3000,5000,5000,5000,0
80000,2,3,1,33,0,0,0,0,0,0,78562,76513,74383,48315,48831,48950,3375,7248,2980,2000,1903,1851,0
230000,1,3,1,53,-1,-1,-1,-1,-1,-1,2155,9413,6020,18468,9665,28100,9419,6161,18468,9665,28100,3480,0
120000,2,1,2,30,-1,-1,-1,-1,-1,-1,416,416,416,0,832,416,416,416,0,832,416,416,1
190000,2,3,1,56,0,0,0,0,0,0,67206,63278,57104,57380,58225,58847,2815,2700,2191,2300,2130,2280,0
5e+05,1,2,1,50,0,0,0,0,0,0,264971,246770,223989,223232,219158,212237,16835,13989,33232,29695,32838,38770,0
80000,2,2,1,42,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
450000,2,1,2,35,1,-2,-1,0,0,-2,0,0,3581,3654,0,0,0,3581,73,0,0,0,0
280000,2,1,1,30,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
360000,2,3,1,47,-2,-2,-2,-2,-2,-2,1459,-4,3994,0,0,7429,0,3998,0,0,7429,490,1
30000,2,2,2,21,0,0,0,0,0,0,28885,28430,29051,29265,28267,28925,1802,1802,1358,1100,1151,1568,0
50000,2,2,1,25,0,0,2,0,0,2,35646,34407,30785,31573,35191,34476,3399,0,1300,4300,0,1500,1
20000,1,2,1,49,0,0,0,0,0,-2,16357,10535,10720,10120,0,0,2009,1508,1000,0,0,0,1
20000,1,3,3,57,1,2,0,0,0,0,20420,20141,19888,20318,20364,20134,1200,1300,1000,1000,1000,1000,0
2e+05,1,1,1,43,2,0,0,0,-2,-2,43243,21546,4397,0,0,0,2000,2000,0,0,0,0,1
1e+05,2,1,2,25,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
3e+05,2,3,1,39,-1,-1,-2,-2,-2,-2,1115,0,0,0,0,0,0,0,0,0,0,0,0
210000,2,2,2,29,1,1,-2,-2,-1,0,1766,-3355,-3987,-1987,1697,4347,0,0,2000,4000,3000,5000,0
410000,1,1,2,33,-1,-1,-1,0,0,0,4091,874,25014,26184,21515,15656,897,26880,15083,12049,4077,5541,0
110000,1,1,1,36,0,0,0,0,0,0,104503,107819,109836,44356,45932,47473,5000,4823,2000,2000,2000,2000,0
2e+05,2,1,2,36,0,0,-2,-2,-2,-2,120890,0,0,0,0,0,0,0,0,0,0,0,0
180000,2,3,1,42,-1,-1,-1,0,-1,-1,2057,2675,448,448,29926,5287,2680,448,0,29926,5287,10843,1
150000,2,1,1,46,0,0,0,0,0,0,21787,22817,24134,24635,29032,29766,1379,1699,1200,5000,1214,1500,0
330000,2,1,2,33,1,-2,-2,-1,2,2,-200,-200,-200,150,150,350,0,0,350,0,200,0,0
5e+05,2,2,1,41,-1,-1,2,-1,-1,-1,8925,73679,65181,5466,30177,11602,64555,326,5494,30328,11658,132,0
350000,2,2,1,35,-2,-2,-1,-1,-2,-2,83415,26305,26858,40098,10855,-2,26309,26921,40098,10855,2,0,0
2e+05,2,2,1,36,-1,-1,-1,0,-1,-1,476,4511,5122,1936,1771,0,4535,5122,0,1771,0,604,1
280000,1,1,1,45,-1,-1,-1,-1,-1,-1,2261,1703,-15,30943,15631,17508,1701,0,30958,15631,17508,10049,1
80000,2,3,1,39,-1,-1,-1,-1,-2,-1,5287,5000,5000,0,0,5000,5000,5000,0,5000,5000,470,0
280000,2,1,2,29,-1,-1,-1,-1,-1,-1,4366,12345,2663,867,3060,858,12421,2664,867,3060,858,3193,0
130000,2,2,2,23,2,2,2,2,0,0,115785,121386,108759,94692,96419,98233,12100,3400,0,3482,4037,2630,0
3e+05,2,2,2,32,0,0,0,0,0,-2,26573,27062,20111,8738,250,0,1323,9160,1000,250,0,0,0
1e+05,2,1,2,32,0,0,0,0,0,0,93700,96017,98111,68668,66845,67452,3800,4000,2500,2500,3000,2600,0
130000,1,2,1,38,-1,-1,-1,-1,-1,-1,780,0,11440,3752,1824,390,0,11440,3752,1824,390,390,0
5e+05,1,1,1,55,2,2,2,2,2,2,4959,4957,4957,4957,4957,4957,0,0,0,0,0,0,1
2e+05,2,2,1,27,1,3,2,2,2,2,184144,182427,182657,174547,181454,177141,5200,7000,0,13300,0,6200,1
4e+05,1,2,2,29,1,2,0,0,0,0,21107,19756,19058,15146,15064,12774,0,1510,1010,1000,2000,2000,0
30000,2,5,1,60,0,0,0,0,0,0,19267,20364,21638,25392,24428,26410,1700,2617,5710,1000,3342,0,0
30000,1,2,1,58,-1,-1,-1,-1,-1,-1,2454,4765,3767,4151,3940,3697,4780,3770,4151,3940,3697,843,1
50000,1,2,1,55,1,2,0,0,-1,-1,44310,43321,43454,44254,2150,1689,0,1200,1000,2150,1689,0,0
230000,2,1,1,51,-1,-1,-1,-1,-1,-1,986,2295,2754,74,3381,2308,2296,2764,74,3381,2308,2381,1
210000,2,1,1,36,1,-1,-1,-2,-1,-1,0,799,0,0,4150,0,799,0,0,4150,0,0,1
50000,2,1,2,49,2,2,4,4,4,4,148,150,150,150,150,150,0,0,0,0,0,0,1
170000,2,5,1,33,0,0,0,0,0,0,143896,129898,124370,112589,26958,8535,6247,6375,4468,1000,1306,110000,0
230000,1,1,1,44,-1,-1,-1,-1,0,-1,816,815,815,1630,815,815,809,815,1630,0,815,629,0
230000,2,1,2,48,0,0,0,0,0,0,161159,164757,168214,159106,162436,165878,7800,7684,5600,5755,6000,6300,0
350000,2,1,1,36,0,0,0,0,0,0,352032,353903,351888,351175,352835,354265,13110,14412,12947,13016,12823,12915,0
170000,2,1,2,36,-1,-1,2,-1,-1,-1,242,832,416,2304,323,-1092,1419,0,2304,0,0,0,0
150000,2,2,1,36,2,2,2,2,2,2,137630,141048,142475,143966,146736,149697,7000,5200,5300,5200,5500,5200,0
90000,2,2,1,27,-1,-1,0,0,0,0,1766,17684,18382,21415,6654,10323,17597,3000,5000,3000,5000,7000,0
20000,2,3,1,56,2,0,0,0,0,0,12893,14150,15334,16222,17598,9950,1500,1500,1000,1500,1500,1500,0
280000,2,1,1,41,2,-1,-1,-1,-2,-1,282,6852,486,0,0,244,6854,486,0,0,244,0,0
90000,2,2,2,28,0,0,0,0,0,-2,81553,39759,29601,20650,0,0,2000,1396,1050,0,0,0,0
450000,1,1,1,30,0,0,-2,-2,-2,-2,25244,0,0,0,0,0,0,0,0,0,0,134745,0
270000,1,2,2,27,0,0,0,0,0,0,144481,91373,15016,14092,14315,111458,6000,2000,1000,2000,100000,100000,0
